Timestamp,CPU Usage,Memory Usage,Disk IO,System Voltage,Network Activity,SSD Temperature
2024-04-25 18:28:34,1.5,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:28:45,1.3,26.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:28:56,5.9,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:29:07,11.4,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:29:18,1.5,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:29:29,2.1,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:29:40,3.3,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:29:51,2.0,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:30:02,2.8,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:30:13,3.3,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:30:24,1.8,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:30:35,2.3,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:30:46,2.6,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:30:57,2.0,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:31:08,1.3,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:31:19,1.8,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:31:30,2.1,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:31:41,2.0,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:31:53,2.5,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:32:04,1.5,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:32:15,2.3,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:32:26,2.8,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:32:37,1.5,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:32:48,1.5,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:32:59,1.5,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:33:10,2.0,25.4,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:33:21,2.3,25.4,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:33:32,28.9,26.4,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:33:43,2.3,26.0,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:33:54,4.3,26.0,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:34:05,2.5,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:34:16,2.6,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:34:27,3.0,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:34:38,2.5,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:34:49,2.6,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:35:00,4.3,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:35:11,2.8,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:35:22,2.8,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:35:33,2.6,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:35:45,3.0,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:35:56,2.6,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:36:07,2.6,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:36:18,2.3,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:36:29,2.6,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:36:40,2.6,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:36:51,3.1,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:37:02,2.1,25.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:37:13,2.1,25.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:37:24,2.3,25.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:37:35,1.8,25.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:37:46,2.6,25.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:37:57,2.3,25.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:38:08,2.1,25.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:38:19,3.0,25.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:38:30,2.6,25.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:38:41,2.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:38:52,2.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:39:03,2.6,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:39:15,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:39:26,3.0,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:39:37,7.7,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:39:48,3.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:39:59,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:40:10,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:40:21,3.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:40:32,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:40:43,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:40:54,3.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:41:05,2.1,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:41:16,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:41:27,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:41:38,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:41:49,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:42:00,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:42:11,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:42:22,3.0,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:42:34,2.0,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:42:45,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:42:56,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:43:07,3.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:43:18,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:43:29,3.1,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:43:40,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:43:51,3.0,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:44:02,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:44:13,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:44:24,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:44:35,3.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:44:46,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:44:57,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:45:08,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:45:19,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:45:30,3.1,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:45:41,1.5,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:45:52,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:46:03,3.0,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:46:15,2.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:46:26,3.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:46:37,3.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:46:48,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:46:59,3.1,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:47:10,2.0,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:47:21,2.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:47:32,2.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:47:43,2.6,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:47:54,2.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:48:05,3.1,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:48:16,3.0,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:48:27,2.8,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:48:38,3.0,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:48:49,2.8,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:49:00,3.0,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:49:11,3.0,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:49:22,4.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:49:33,2.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:49:45,3.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:49:56,3.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:50:07,4.0,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:50:18,2.6,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:50:29,3.8,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:50:40,2.5,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:50:51,2.6,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:51:02,2.3,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:51:13,2.8,25.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:51:24,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:51:35,10.9,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:51:46,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:51:57,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:52:08,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:52:19,2.5,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:52:30,1.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:52:41,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:52:52,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:53:03,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:53:15,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:53:26,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:53:37,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:53:48,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:53:59,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:54:10,2.1,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:54:21,2.1,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:54:32,3.0,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:54:43,3.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:54:54,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:55:05,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:55:16,2.1,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:55:27,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:55:38,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:55:49,1.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:56:00,2.8,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:56:11,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:56:22,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:56:33,2.0,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:56:44,2.1,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:56:56,2.3,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:57:07,2.6,25.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
