Timestamp,CPU Usage,Memory Usage,Disk IO,System Voltage,Network Activity,SSD Temperature
2024-05-11 22:47:19,1.0,5.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:47:30,0.0,5.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:47:41,0.0,5.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:47:52,1.0,5.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:48:03,0.0,5.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:48:14,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:48:26,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:48:37,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:48:48,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:48:59,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:49:10,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:49:21,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:49:32,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:49:44,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:49:55,0.0,5.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-11 22:50:06,0.0,6.0,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
