Timestamp,CPU Usage,Memory Usage,Disk IO,System Voltage,Network Activity,SSD Temperature
2024-05-18 17:20:05,1.0,6.2,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:20:16,0.5,6.2,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:20:28,0.8,6.2,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:20:39,2.0,6.3,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:20:50,1.0,6.4,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:21:01,1.0,6.4,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:21:12,1.5,6.4,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:21:23,0.3,6.4,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:21:34,1.2,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:21:45,0.0,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:21:56,0.5,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:22:07,0.2,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:22:18,0.5,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:22:29,0.3,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:22:40,0.5,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:22:51,0.2,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:23:02,0.5,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:23:13,0.0,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:23:24,0.2,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:23:35,0.0,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:23:46,0.3,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:23:57,0.2,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:24:08,0.5,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:24:20,0.3,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:24:31,0.3,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:24:42,0.5,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:24:53,0.5,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:25:04,0.2,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
2024-05-18 17:25:15,1.0,6.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Celsius
