Timestamp,CPU Usage,Memory Usage,Disk IO,System Voltage,Network Activity,SSD Temperature
2024-07-15 09:15:20,0.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:15:31,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:15:42,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:15:53,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:16:04,0.2,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:16:15,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:16:27,0.3,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:16:38,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:16:49,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:17:00,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:17:11,0.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:17:22,0.2,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:17:33,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:17:44,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:17:55,0.3,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:18:06,0.2,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:18:17,1.2,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:18:28,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:18:39,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:18:50,2.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:19:01,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:19:12,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:19:23,1.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:19:34,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:19:45,1.7,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:19:56,1.7,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:20:07,1.3,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:20:18,1.3,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:20:29,1.3,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:20:40,3.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:20:51,1.7,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:21:02,0.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:21:13,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:21:25,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:21:36,1.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:21:47,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:21:58,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:22:09,0.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:22:20,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:22:31,0.0,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:22:42,0.3,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:22:53,0.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:23:04,0.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:23:15,0.0,3.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:23:26,0.3,3.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:23:37,0.5,3.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:23:48,0.5,3.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:23:59,1.0,3.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:24:10,0.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:24:21,0.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:24:32,0.7,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:24:43,0.7,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:24:54,0.3,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:25:05,0.7,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:25:16,0.3,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:25:27,0.5,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
2024-07-15 09:25:38,0.3,3.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,Error retrieving temperature
