Timestamp,CPU Usage,Memory Usage,Disk IO,System Voltage,Network Activity,SSD Temperature
2024-04-25 18:23:37,3.1,26.3,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:23:48,3.3,26.3,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:23:59,5.3,26.3,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:24:10,3.8,26.4,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:24:21,2.6,26.4,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:24:32,5.1,26.3,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:24:43,19.9,26.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:24:54,6.9,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:25:05,15.7,26.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:25:16,17.1,27.1,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:25:27,37.6,27.5,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:25:38,10.8,27.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:25:49,18.3,26.8,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:26:00,8.3,26.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:26:12,12.4,27.0,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:26:23,5.1,26.9,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:26:34,5.3,27.1,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:26:45,29.4,27.0,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:26:56,2.0,26.7,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:27:07,11.9,26.6,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:27:18,10.4,27.0,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
2024-04-25 18:27:29,6.8,27.3,Disk IO Placeholder,System Voltage Placeholder,Network Activity Placeholder,40
